link	university	language	plataform	title
http://ocw.uci.edu/lectures/lecture.aspx?id=502	University of California, Irvine	English	MOODLE	Chem 51A 11/20/09 Ch 7. Mechanistic and Stereochemical Aspects of SN2 Reactions
http://ocw.uci.edu/lectures/lecture.aspx?id=503	University of California, Irvine	English	MOODLE	Chem 51A 11/23/09 Ch 7. Mechanistic and Stereochemical Aspects of SN1 Reactions
http://ocw.uci.edu/lectures/lecture.aspx?id=500	University of California, Irvine	English	MOODLE	Chem 51A 11/16/09 Ch. 6. Energetics of Reactions
http://ocw.uci.edu/lectures/lecture.aspx?id=501	University of California, Irvine	English	MOODLE	Chem 51A 11/18/09 Ch 7. Introduction to Alkyl Halides and Nuceophilic Substitution
http://ocw.uci.edu/lectures/lecture.aspx?id=797	University of California, Irvine	English	MOODLE	The Impact of Global Health Diagnostics Initiatives in Peru
http://ocw.uci.edu/lectures/lecture.aspx?id=795	University of California, Irvine	English	MOODLE	Chem 131C (Spring 2012): Equilibrium in Action
http://ocw.uc3m.es/informatica/fundamentos-de-bases-de-datos	Universidad Carlos III de Madrid	Spanish	eduCommons	Fundamentos de las Bases de Datos
http://ocw.uci.edu/lectures/lecture.aspx?id=790	University of California, Irvine	English	MOODLE	Chem 131C (Spring 2012): Getting to Know the Gibbs Energy
http://ocw.uc3m.es/informatica/interfaces-de-usuario	Universidad Carlos III de Madrid	Spanish	eduCommons	Interfaces de Usuario
http://ocw.uci.edu/courses/course.aspx?id=66	University of California, Irvine	English	MOODLE	International Studies 12: Global Issues & Institutions
http://ocw.uci.edu/courses/course.aspx?id=64	University of California, Irvine	English	MOODLE	Political Science 126A: Mexican-Americans & Politics
http://ocw.uci.edu/courses/course.aspx?id=65	University of California, Irvine	English	MOODLE	International Studies 164: Iraq Reconstruction
http://ocw.uci.edu/courses/course.aspx?id=62	University of California, Irvine	English	MOODLE	Political Science 126C: US Immigration Policy
http://ocw.uci.edu/courses/course.aspx?id=63	University of California, Irvine	English	MOODLE	Political Science 129: Latinos & 2008 Election
http://ocw.uci.edu/courses/course.aspx?id=61	University of California, Irvine	English	MOODLE	Political Science 61A: Minority Politics
http://ocw.uc3m.es/informatica/diseno-de-software-avanzado	Universidad Carlos III de Madrid	Spanish	eduCommons	Diseño de Software Avanzado 
http://ocw.uci.edu/lectures/lecture.aspx?id=159	University of California, Irvine	English	MOODLE	Business and Sustainability
http://ocw.uci.edu/lectures/lecture.aspx?id=151	University of California, Irvine	English	MOODLE	New Algorithms in Information Science
http://ocw.uci.edu/lectures/lecture.aspx?id=150	University of California, Irvine	English	MOODLE	Health Under Siege: The Gaza Model
http://ocw.uci.edu/lectures/lecture.aspx?id=153	University of California, Irvine	English	MOODLE	Computer-aided Drug Discovery for Infectious Diseases
http://ocw.uci.edu/lectures/lecture.aspx?id=152	University of California, Irvine	English	MOODLE	Rural Hypertension in China
http://ocw.uci.edu/lectures/lecture.aspx?id=155	University of California, Irvine	English	MOODLE	Creating Relevant Brands
http://ocw.uci.edu/lectures/lecture.aspx?id=154	University of California, Irvine	English	MOODLE	Testing Your Business Concept
http://ocw.uci.edu/lectures/lecture.aspx?id=156	University of California, Irvine	English	MOODLE	Education 173: Learning and Cognition in Educational Settings
http://ocw.uc3m.es/ciencia-e-oin/ciencia-e-ingenieria-de-materiales	Universidad Carlos III de Madrid	Spanish	eduCommons	Materials Science and Engineering
http://ocw.uci.edu/lectures/lecture.aspx?id=411	University of California, Irvine	English	MOODLE	Badly Fragmented: When Courts and Science Clash
http://ocw.uci.edu/lectures/lecture.aspx?id=449	University of California, Irvine	English	MOODLE	Transboundary Environmental Policy and Institutions along International Borders
http://learn.uci.edu/oo/getOCWPage2.php?course=OC0700522&lesson=1	University of California, Irvine	English	MOODLE	Spa and Hospitality Operations
http://ocw.uc3m.es/informatica/inteligencia-artificial	Universidad Carlos III de Madrid	Spanish	eduCommons	Inteligencia Artificial
http://ocw.uci.edu/lectures/lecture.aspx?id=307	University of California, Irvine	English	MOODLE	Classroom Applications of 21st Century Skills
http://ocw.uci.edu/lectures/lecture.aspx?id=685	University of California, Irvine	English	MOODLE	How To Get Into Medical School
http://ocw.uci.edu/lectures/lecture.aspx?id=684	University of California, Irvine	English	MOODLE	SHAPe Lab: Important Factors in College Student Health
http://ocw.uci.edu/lectures/lecture.aspx?id=681	University of California, Irvine	English	MOODLE	UCI Laboratory of Visual Neuroscience
http://ocw.uci.edu/lectures/lecture.aspx?id=680	University of California, Irvine	English	MOODLE	Secularism and Cosmopolitanism
http://ocw.uci.edu/lectures/lecture.aspx?id=682	University of California, Irvine	English	MOODLE	Manufacturing Memories 2011
http://openlearn.open.ac.uk/course/view.php?name=LIB_6	The Open University	English	Moodle	Finding information in mathematics and statistics
http://openlearn.open.ac.uk/course/view.php?name=M338_1	The Open University	English	Moodle	Surfaces
http://ocwus.us.es/psicologia-evolutiva-y-de-la-educacion/pp	Universidad de Sevilla	Spanish	eduCommons	Psicología de la Instrucción (Prof. Arianna Sala)
http://ocwus.us.es/psicologia-social/pp	Universidad de Sevilla	Spanish	eduCommons	Psicología del Trabajo
http://ocw.uci.edu/lectures/lecture.aspx?id=327	University of California, Irvine	English	MOODLE	Entrepreneurs Forum with Professor Gregory Weiss
http://ocwus.us.es/derecho-internacional-publico-y-relaciones-internacionales/pp-1	Universidad de Sevilla	Spanish	eduCommons	Derecho Internacional Público
http://ocwus.us.es/proyectos-arquitctonicos/pp-1	Universidad de Sevilla	Spanish	eduCommons	Proyectos I (Prof. Marta Pelegrín Rodríguez)
http://ocw.uci.edu/lectures/lecture.aspx?id=498	University of California, Irvine	English	MOODLE	Chem 51A 11/09/09 Ch. 6. Introduction to Understanding Organic Reactions
